event_id,event_name,event_type,location,date,description
1,Hari Raya Aidilfitri Celebration,Religious,Kuala Lumpur,2024-04-10,"A grand celebration marking the end of Ramadan with prayers, feasting, and cultural performances."
2,Thaipusam Festival,Religious,Batu Caves,2024-01-24,"A Hindu festival celebrated with a pilgrimage to Batu Caves, involving vibrant rituals and ceremonies."
3,Wesak Day Procession,Religious,Penang,2024-05-23,"A Buddhist event marked by a procession and various religious activities to celebrate the birth, enlightenment, and death of Buddha."
4,Gawai Dayak Festival,Cultural,Sarawak,2024-06-01,"A harvest festival celebrated by the Dayak people in Sarawak with traditional music, dances, and food."
5,Deepavali Festival of Lights,Religious,George Town,2024-11-12,"A major Hindu festival known as the Festival of Lights, celebrated with light displays, prayers, and festive meals."
6,Lantern Festival,Festival,Malacca,2024-09-14,"A vibrant festival featuring beautiful lantern displays, parades, and cultural performances."
7,Hungry Ghost Festival,Festival,Kuala Lumpur,2024-08-22,A traditional Chinese festival where offerings are made to appease wandering spirits.
8,Pesta Kaamatan,Festival,Sabah,2024-05-30,"A harvest festival celebrated by the Kadazan-Dusun people in Sabah with traditional music, dances, and cultural performances."
9,Chinese New Year,Festival,Penang,2024-02-10,"A major celebration featuring dragon dances, fireworks, and family gatherings to mark the beginning of the lunar new year."
10,Malaysia Day Celebration,National,Kuala Lumpur,2024-09-16,"A national celebration commemorating the formation of Malaysia, marked by parades, cultural performances, and fireworks."
11,Hari Gawai,Festival,Sarawak,2024-06-01,"A harvest festival celebrated by the Dayak people in Sarawak with traditional music, dances, and food."
12,Tadau Kaamatan,Festival,Sabah,2024-05-30,"A harvest festival celebrated by the Kadazan-Dusun people in Sabah with traditional music, dances, and cultural performances."
13,Mid-Autumn Festival,Festival,Kuala Lumpur,2024-09-14,"A festival celebrated with mooncakes, lanterns, and family gatherings to mark the autumn harvest."
14,Merdeka Day Parade,National,Putrajaya,2024-08-31,"A national celebration with parades, fireworks, and cultural performances to commemorate Malaysia’s independence."
