title,link,desc,date,category
Anniversary of UNESCO World Heritage City Celebration : George Town,https://www.malaysia.travel/events/anniversary-of-unesco-world-heritage-city-celebration-george-town-2," This event is celebrated annually in July to mark the historic city being listed as a UNESCO World Heritage Site. Through the celebrations, the...",08 Jul 2024,Arts & Culture
Festival Boria,https://www.malaysia.travel/events/festival-boria,"Boria is a form of Malay theatre of Indian origin which has gone through adaptive processes,  becoming the one and only theatre of the...",12 Jul 2024 - 14 Jul 2024,"Arts & Culture,Entertainment,Music,Festival"
Jingju Magic: Love & Bewilderment (Malaysian Premiere),https://www.malaysia.travel/events/jingju-magic-love-bewilderment-malaysian-premiere,World-renowned GuoGuang Opera Company is set to premiere Jingju Magic – Love & Bewilderment in Malaysia with two double bills featuring “Zhuangzi Tests His...,12 Jul 2024 - 14 Jul 2024,Arts & Culture
Indigenous Arts And Cultural Festival,https://www.malaysia.travel/events/indigenous-arts-and-cultural-festival,"The Indigenous Arts and Cultural Festival offers the uniqueness of the heritage, beliefs and practices of the indigenous community of Malaysia.  Among the activities...",19 Jul 2024 - 21 Jul 2024,"Festival,Arts & Culture"
Penang Hill Festival 2024,https://www.malaysia.travel/events/penang-hill-festival-2024,Penang Hill’s iconic event – the Penang Hill Festival (PHF) – is back for its fifth edition from 19 – 21 July 2024! PHF2024...,19 Jul 2024 - 21 Jul 2024,Festival
The 48th Bon Odori Festival 2024,https://www.malaysia.travel/events/the-48th-bon-odori-festival-2024,This event started out as a small affair for Japanese expatriates to immerse their children in Japanese culture in 1977. It has now grown...,20 Jul 2024,"Arts & Culture,Festival"
Rimba Raid 2024,https://www.malaysia.travel/events/rimba-raid-2024,The biggest off road race event for large capacity motorcycles in the Asian Continent. The only event that showcases the rain forest and the...,25 Jul 2024 - 28 Jul 2024,"Sports,Nature"
Kejohanan Silat Olahraga Dan Seni Jemputan Borneo,https://www.malaysia.travel/events/kejohanan-silat-olahraga-dan-seni-jemputan-borneo,The championship includes two main categories: Silat Olahraga and Seni Silat. The primary difference between these categories lies in their focus and approach.Silat Olahraga...,26 Jul 2024 - 28 Jul 2024,"Arts & Culture,Sports"
Lion Dance Festival,https://www.malaysia.travel/events/lion-dance-festival,"The Ministry of Tourism, Arts, and Culture Malaysia (MOTAC) will organize the Lion Dance Festival from July 26 to 28, 2024, at Kuching Waterfront,...",26 Jul 2024 - 28 Jul 2024,"Arts & Culture,Festival"
Craft Complex Carnival,https://www.malaysia.travel/events/craft-complex-carnival,"The Malaysian Handicraft Development Corporation, through Kuala Lumpur Craft Complex, will be organizing the Craft Complex Carnival on 27th and 28th July 2024, at...",27 Jul 2024 - 28 Jul 2024,Arts & Culture
